VideoId,Views,Likes,Comments,Dislikes,DifferenceBetweenPublishAndActualDate,IsTrending
sDJYHAckHxc,503764,0,0,0,273,0
B829OYx-hDc,96850,985,49,73,611,0
3Vozb1TQL5c,31909,317,32,3,706,0
LZWcMAO5G94,221624,2231,225,198,414,0
HcsaU5dPaho,46421,115,2,4,4711,0
l_8bVOjVu94,100678,1399,188,96,89,0
_EdQE0zOAYM,102500,389,0,59,1080,0
xF1euKWD3Xc,39125,61,3,4,4314,0
vSPJrMfEa50,86363,655,0,101,692,0
xWE8XSjq-6E,740451,4003,195,259,823,0
hHpIBbHAH9I,107863,15,0,0,372,0
WaQoAUxMlNs,103379,1534,0,287,434,0
IJ_5VNr8mDE,2200355,8637,416,756,2391,0
6LP-DzyHqA4,43492,505,0,108,1075,0
7iBOGAzzZfM,54720,115,4,7,1522,0
Zj39qC8daao,75320,267,30,39,136,0
Qz-RNy5oc_c,489728,7915,85,182,4,0
awuslVI0Q4s,147223,1094,335,141,426,0
H2lBtcYrJzg,73361,1159,0,118,1141,0
B0b35_IZAUA,230256,1582,0,363,698,0
lo7SH3S6zCw,3516296,13611,913,1431,2258,0
ySFx67mRDI0,232659,26,0,4,1325,0
FwD-1shSTPg,89269,662,237,286,775,0
S8tu4fxSveY,106633,762,26,96,635,0
qnL_f1wvUvk,3478555,15128,0,7381,7,0
GZiYlNWoKUk,122854,451,235,15,1856,0
FzYfjSkX81Q,7575,0,4,0,1,0
3ytqBfFqFzI,102513,322,0,40,969,0
rmMfqQK0w5k,91529,519,0,127,733,0
DTZCDOqY4wY,195406,2139,595,682,525,0
NbGC4MtB7UA,417278,5488,3002,1365,707,0
osfP-mOryBs,66423,532,0,144,687,0
L3WjXxcSlBA,143290,0,0,0,148,0
Exc2JuFiFuw,66557,927,0,135,832,0
BcgL2YM1u0s,928274,2534,132,525,3354,0
2ZZVqYh5YKk,4803,208,1,11,0,0
JqAX53qyZYA,66547,969,100,28,568,0
vU1mjp8QrQ8,127846,645,0,240,1092,0
pTdzH24WBE0,1419864,4892,115,1187,1715,0
ozdXtWe3QRU,147053,973,0,256,923,0
iaTk4YWZL6s,110830,0,1,0,269,0
nadymJsqjVQ,93639,422,39,67,2144,0
loSs-w6dtx0,2045128,4257,167,1092,3627,0
H5LpH_UHIEs,4106,43,2,2,1,0
lg0YsTRhCkI,87124,206,0,33,461,0
fNqwAqNL3XQ,40772,77,0,14,3121,0
hA5S9nOXsM8,4251,121,3,1,0,0
T3JIYY6aO0I,72651,340,62,94,561,0
lA4RXgHBtmk,8117,281,13,15,0,0
Jtbe0hmnl4s,6546,226,16,7,1,0
LUK8sZb5lMg,72477,1110,0,100,439,0
naqX4QgkoYo,1686,224,6,5,0,0
Ab0sSvgHNRY,149313,532,1,61,353,0
T-IdYabHixI,901,52,6,0,0,0
xHbeVJGqLiI,19746,144,38,7,1,0
0FJVe3eAPMs,4572,0,0,0,0,0
6rXXOyzEhDw,92112,397,0,134,479,0
enyVO1-cdfc,6494,4,2,0,2143,0
_QHCKzrxjzM,41059,60,6,13,3177,0
VrJzKUmBb5Y,109896,602,0,69,531,0
3FdonzmLbrY,93382,262,0,74,1129,0
jl5XlMBjpWc,5283,128,5,3,0,0
3j6dUg_usxI,89807,763,0,99,358,0
pVjrjGjMZQM,2455,47,2,1,1,0
CAdKBAEk5mM,84529,181,0,24,497,0
yajUsypGwfI,2932,26,3,1,0,0
DwtV7OOgwCw,1131,75,0,1,0,0
vmdp17KUAtA,1931,48,0,1,0,0
T601_33XDyY,5855,75,28,6,1,0
W6Xl6iSf5BM,7400,111,15,3,1,0
vDAMocAHCa0,120429,5,3,0,88,0
KnwYWc350b0,212565,456,0,77,625,0
rfyxMqXyj1g,160956,1013,48,299,277,0
VK2R7NW7aFQ,4686,42,3,2,0,0
Lkrby-_NJTs,5851906,12034,1080,5929,1845,0
fklXKKVD23U,285420,394,20,149,2405,0
2m0o-NVIcrw,389668,0,0,0,1244,0
BsxxkyO1UEE,101622,1412,0,232,462,0
pWJhIRr7GTo,4201,55,11,14,0,0
vlAP3RnoTqQ,82938,677,0,110,674,0
pw-BFO4tum8,49830,481,170,92,898,0
NbmH41Ynr-k,253,15,0,1,0,0
83ZfVSpoESk,1600,49,5,1,0,0
qNMIWbwVH-Q,1284,72,1,1,1,0
sDCfxsUpgPo,127209,2123,0,132,417,0
g-FFtC-clJ8,1216,27,1,0,0,0
NpimTiK6zXI,1918,51,0,3,0,0
VtS6d6iPvkY,1505,48,0,3,0,0
8Hfu9ZwLN-4,75526,1000,0,228,789,0
j-OTIjkQwR4,45802,109,32,43,1473,0
