VideoId,Views,Likes,Comments,Dislikes,DifferenceBetweenPublishAndActualDate,IsTrending
47PqCwvLkYc,227985,1623,96,86,3,1
1nE5KqQn6eM,541586,11030,4025,1086,9,0
Y47t9qLc9I4,666253,47788,6762,1872,4,1
lCcaBN_97TQ,3986007,197087,5928,3369,1,1
Yd_gtl_Hi8Y,161682,26,0,12,193,0
HnnRac_Q3Lg,520255,1559,94,103,577,0
JqW92zAE3gg,246129,626,17,93,67,0
FQ3Z94zeuYo,474845,2918,383,82,2,1
ojCTmNEcl10,1302532,13815,703,642,3,1
7ep0863lVqE,91953,355,3,44,841,0
ysldexxTMLk,15196,650,10,24,39,0
Qv2z81K38zM,240897,1310,55,88,171,0
DnGYSCeKnlk,2649956,6940,414,730,375,0
kEtfvFHuhCw,589292,72590,14852,402,3,1
YzWvPzXFUj0,75219,572,243,52,2,1
R7klyFU_6xM,7940220,921800,92163,7047,0,1
OnybNVur32E,18734,100,21,13,5,0
iQP_2ZBwiKM,544236,9651,1566,162,1,1
YFn3NtG4bJ8,253484,1545,237,118,1,1
rtMwOfPLWWQ,29287,1489,621,54,0,0
unz6mfjS4ws,615088,36093,2223,374,2,1
8QsH_xPQFqM,356789,34775,1180,318,3,1
58lSjoc0iFk,533835,5607,1948,228,0,1
-A3NNl0rdWs,2358547,134602,9849,8098,5,1
AMXT1ok5UBg,4018508,231966,19500,8516,4,1
kuBOk5AqJwc,2007,7,8,0,158,0
2EVFYstVuVk,4111654,174601,12714,5942,1,1
DWQ-pI_iNZU,189791,8230,1583,230,3,1
nSRxdPBx77o,992250,3039,243,339,527,0
w8AAdZ1TDUw,334332,12049,285,412,3,1
G9HPnzDzNlc,1423995,13747,5356,1990,218,0
RfZVnGZVV4s,739616,29362,1481,514,6,1
EpwKNzxH94c,190887,2099,651,147,5,1
Nz9mBTAGVis,6503985,27082,542,550,932,0
lqUWM8q2Hd4,380722,62923,5794,304,1,1
BV2FdDmGiW0,23493158,4238883,339379,56358,0,1
NY3E6b5R0dM,667,0,7,0,3,0
fodK2GEGFwQ,241212,42558,5507,338,0,1
rpPCjyVfQOo,25079483,407698,15793,20725,5,1
D0eETei6rj8,4857,119,7,0,237,0
TgWlruoQoLI,814220,28995,3298,466,5,1
kywAJAOvLH0,473700,5239,208,378,10,0
myM5SY1mHoA,430836,39764,3325,191,4,1
gbxyZAduGvY,583110,11786,950,438,4,1
0EMWaPJ5wO4,276268,8266,1315,653,5,1
VImYeXnr13Q,4965780,157757,12984,3853,4,1
Vg8jvoyXLW8,3669241,212128,19219,2401,3,1
Zdjb46ZLtDg,120407,20915,2332,111,0,1
he1xvAwArfo,1895297,159010,14116,920,4,1
OJ2Bejr7bK4,472937,5086,846,226,6,1
5pdq_4FJuR8,395534,33614,3152,305,7,1
pjtzOJqXdVg,133711,0,0,0,1,0
kGVSKusL2_I,12291,40,2,2,82,0
xi3pD0i_gbk,155555,16426,1205,169,0,1
9RurtAMRb20,392391,55875,1450,314,4,1
jFdy81gis-U,193861,479,0,167,581,0
Ql03zcBjqvc,1055839,20641,575,421,9,0
pFtk274nHX4,537075,38563,1001,424,4,1
B0S8oUcFOHk,542661,5352,248,285,3,1
DNCw8g6aIQI,163808,729,1809,2515,10,0
lrAHSIz6ugM,4038080,502487,36266,4982,4,1
F41cmUsuj3M,536959,41200,3321,405,1,1
gRLe7iG4Qts,1798,12,1,0,4,0
sThbk3TfCG0,3269,72,5,2,1,0
-G15r96n3aY,302459,40520,3872,997,2,1
19CetHQESSs,36014,771,172,13,1,0
OSX3ik9Z4X8,4629981,220598,14179,3459,3,1
opNYKWnfXlg,1878794,76570,0,5389,3,1
DGdsIrAjp3k,2763234,101047,4756,1081,5,1
U7NrniX5Aj0,3496915,277082,25341,4295,1,1
Jt-FkEWqQF0,166,0,0,0,3,0
-Y_w5zXnwV0,1170,25,1,2,2,0
eIM4U4fYwKQ,254589,13898,1600,268,0,1
Sl19wcuh6lo,756159,39003,2315,361,1,1
xHXCKSY4XYM,449789,2097,129,436,699,0
fFWCNhm72LI,1660324,4767,191,444,101,0
