VideoId,Views,Likes,Comments,Dislikes,TrendingDate,PublishedDate,DifferenceBetweenPublishAndActualDate,IsTrending
3C66w5Z0ixs,1514614,156908,35313,5855,08/12/2020 02:00:00,08/11/2020 21:20:14,0,1
M9Pmf9AB4Mo,2381688,146739,16549,2794,08/12/2020 02:00:00,08/11/2020 19:00:10,0,1
J78aPJ3VyNs,2038853,353787,40221,2628,08/12/2020 02:00:00,08/11/2020 18:34:06,0,1
kXLn3HkpjaA,496771,23251,7647,1856,08/12/2020 02:00:00,08/11/2020 18:38:55,0,1
VIUo6yapDbc,1123889,45802,2196,964,08/12/2020 02:00:00,08/11/2020 17:10:05,0,1
w-aidBdvZo8,949491,77487,7506,746,08/12/2020 02:00:00,08/11/2020 22:00:04,0,1
uet14uf9NsE,470446,47990,4558,440,08/12/2020 02:00:00,08/12/2020 02:17:41,0,1
ua4QMFQATco,1050143,89190,6455,854,08/12/2020 02:00:00,08/11/2020 19:15:11,0,1
SnsPZj91R7E,1402687,95694,6613,2158,08/12/2020 02:00:00,08/11/2020 00:26:59,1,1
SsWHMAhshPQ,741028,113983,5618,4373,08/12/2020 02:00:00,08/12/2020 01:00:10,0,1
49Z6Mv4_WCA,940036,87111,7052,1860,08/12/2020 02:00:00,08/11/2020 22:24:34,0,1
nt3VVyv5pxQ,591837,44168,2652,409,08/12/2020 02:00:00,08/11/2020 19:00:31,0,1
I6hswz4rIrU,320872,14288,2085,774,08/12/2020 02:00:00,08/11/2020 19:13:53,0,1
W7VK4DUHvKU,413372,26440,1495,293,08/12/2020 02:00:00,08/11/2020 21:00:10,0,1
W9Aen8hG20Y,921261,124183,16460,1678,08/12/2020 02:00:00,08/11/2020 00:33:48,1,1
BNeDH6UTmXw,105955,4511,673,69,08/12/2020 02:00:00,08/12/2020 00:00:05,0,1
6TIsR_7nrNc,1007540,10102,2763,7932,08/12/2020 02:00:00,08/10/2020 20:41:19,1,1
gPdUslndvVI,277338,37533,3666,197,08/12/2020 02:00:00,08/12/2020 01:00:06,0,1
GTp-0S82guE,1648441,130147,15773,1425,08/12/2020 02:00:00,08/11/2020 14:04:40,0,1
jbGRowa5tIk,5999732,714287,31039,15174,08/12/2020 02:00:00,08/11/2020 17:00:13,0,1
vePc5V4h_kg,14684474,544038,33507,15818,08/12/2020 02:00:00,08/09/2020 18:00:11,2,1
5WjcDji3xYc,833369,50181,4634,1120,08/12/2020 02:00:00,08/11/2020 19:03:59,0,1
FopIxceEr8g,3061467,206840,14934,2646,08/12/2020 02:00:00,08/10/2020 19:09:53,1,1
p7HGUZWq_8s,3662673,394675,27346,5757,08/12/2020 02:00:00,08/11/2020 21:00:09,0,1
AMXT1ok5UBg,2630410,185419,15908,4744,08/12/2020 02:00:00,08/12/2020 01:00:02,0,1
mLOe7vGI0YI,1236984,65429,20813,1918,08/12/2020 02:00:00,08/10/2020 19:00:11,1,1
Que4RnxYLNc,187835,23938,1895,170,08/12/2020 02:00:00,08/11/2020 21:15:10,0,1
z5l8ovbw_6M,1061892,117220,9311,876,08/12/2020 02:00:00,08/10/2020 23:28:49,1,1
2avPJ9TZNmU,2228821,289389,25151,1720,08/12/2020 02:00:00,08/11/2020 20:03:12,0,1
PT6hPvOqTYc,542048,42090,10576,4829,08/12/2020 02:00:00,08/10/2020 22:56:04,1,1
9nidKH8cM38,236830,16423,1642,209,08/12/2020 02:00:00,08/11/2020 22:00:45,0,1
CezxKs9YLv0,75700,9228,7085,103,08/12/2020 02:00:00,08/12/2020 00:41:31,0,1
GYeKX_LPY9U,880035,16970,881,626,08/12/2020 02:00:00,08/11/2020 18:00:07,0,1
9AecsACtkB4,725151,6327,2695,651,08/12/2020 02:00:00,08/11/2020 00:29:23,1,1
aG8QsfDisdg,322657,3282,4456,290,08/12/2020 02:00:00,08/11/2020 02:19:12,0,1
GGEBtW2mWOk,3427335,147162,32307,62615,08/12/2020 02:00:00,08/09/2020 21:00:30,2,1
kgkALngcgnE,1675448,123749,9480,2789,08/12/2020 02:00:00,08/10/2020 18:00:48,1,1
5V2B28OqfqM,21022916,1297679,76814,22626,08/12/2020 02:00:00,08/08/2020 22:00:02,3,1
Mle7n1PuH9o,674422,61373,4805,796,08/12/2020 02:00:00,08/10/2020 18:07:25,1,1
IuMAHR0OtH4,324426,7573,502,358,08/12/2020 02:00:00,08/06/2020 23:30:14,5,1
n_8hxS_7Vis,540613,7155,1647,308,08/12/2020 02:00:00,08/11/2020 18:21:47,0,1
OQZ5ht79nEw,430836,37754,4818,256,08/12/2020 02:00:00,08/11/2020 19:29:52,0,1
zHPVGSwLhcg,997102,60993,13810,8847,08/12/2020 02:00:00,08/11/2020 16:42:43,0,1
gi3VMMiFHVg,756814,8278,2441,331,08/12/2020 02:00:00,08/12/2020 04:30:32,0,1
p6RatnMhDj8,143091,7159,805,349,08/12/2020 02:00:00,08/11/2020 04:40:01,0,1
zrsBjYukE8s,3433885,353329,23405,9763,08/12/2020 02:00:00,08/11/2020 11:00:13,0,1
N5KpIE2tz8M,500658,35858,4872,2238,08/12/2020 02:00:00,08/10/2020 17:58:26,1,1
Aur7UgTGlL0,937569,10160,3119,405,08/12/2020 02:00:00,08/12/2020 03:27:17,0,1
XsmkTqsygD4,494247,15761,811,344,08/12/2020 02:00:00,08/10/2020 23:02:21,1,1
KX06ksuS6Xo,9140911,296502,30044,6179,08/12/2020 02:00:00,08/11/2020 09:30:02,0,1
yVdH3QacEXc,1523818,163684,9845,2377,08/12/2020 02:00:00,08/10/2020 18:32:06,1,1
hsm4poTWjMs,76805026,2820345,270263,382578,08/12/2020 02:00:00,08/07/2020 06:00:10,4,1
9wDhKJsF5Zk,131641,938,429,285,08/12/2020 02:00:00,08/10/2020 19:59:46,1,1
Tujt4APHPzo,208173,8810,0,215,08/12/2020 02:00:00,08/11/2020 15:00:29,0,1
rs2Rcu0s_2k,1561146,31649,3496,1634,08/12/2020 02:00:00,08/09/2020 20:02:05,2,1
RQqJeIyyQBs,420665,36945,2016,802,08/12/2020 02:00:00,08/10/2020 16:00:10,1,1
1mZ1f_8YOEc,398340,3546,6616,445,08/12/2020 02:00:00,08/10/2020 12:13:25,1,1
lIgtAxmA800,1423284,69518,4244,1920,08/12/2020 02:00:00,08/10/2020 18:00:10,1,1
JJk1ji23Ey8,307888,49300,2925,139,08/12/2020 02:00:00,08/11/2020 13:08:04,0,1
8fUGbilT5MQ,260355,14367,1331,114,08/12/2020 02:00:00,08/11/2020 14:00:07,0,1
JNJN5HMkRao,449198,1341,315,349,08/12/2020 02:00:00,08/10/2020 20:19:51,1,1
xNFEor9dhY0,225418,40479,2324,282,08/12/2020 02:00:00,08/11/2020 01:58:36,1,1
6IN4ZcZAUbA,1127988,41715,4909,1359,08/12/2020 02:00:00,08/10/2020 14:00:03,1,1
ar6UiTbuoSU,6439206,629024,70850,12504,08/12/2020 02:00:00,08/08/2020 20:00:14,3,1
28YwvwneKoY,8721068,589860,68682,6782,08/12/2020 02:00:00,08/08/2020 18:28:40,3,1
YHX4lUSGUBI,791489,13242,2728,325,08/12/2020 02:00:00,08/10/2020 17:25:12,1,1
KmVG1Yx1kwQ,285517,6771,1463,254,08/12/2020 02:00:00,08/10/2020 20:28:55,1,1
FQnJRVn3QVk,421747,43493,3146,230,08/12/2020 02:00:00,08/10/2020 18:00:04,1,1
PHYtv0v2DeA,2103682,22243,3946,907,08/12/2020 02:00:00,08/11/2020 05:53:08,0,1
jp47GeO6k6Q,1202553,55079,6162,1387,08/12/2020 02:00:00,08/09/2020 20:42:25,2,1
8QsH_xPQFqM,240028,26192,980,243,08/12/2020 02:00:00,08/10/2020 21:00:10,1,1
xTpr7piQu2M,1213314,64247,5438,7181,08/12/2020 02:00:00,08/10/2020 17:00:08,1,1
bGtR3l_JeUo,3857591,260026,18334,2100,08/12/2020 02:00:00,08/09/2020 16:00:10,2,1
1hx4vCChBlI,232400,37375,1788,229,08/12/2020 02:00:00,08/11/2020 03:37:40,0,1
lcnWx5tiwhM,276232,45628,3227,157,08/12/2020 02:00:00,08/10/2020 20:07:26,1,1
RN8uoBwRr1k,1718883,78157,3846,717,08/12/2020 02:00:00,08/11/2020 15:00:11,0,1
goOmZUwQYlA,277407,28692,836,236,08/12/2020 02:00:00,08/11/2020 05:06:21,0,1
KnE6u4hFx14,4030996,190480,7772,3206,08/12/2020 02:00:00,08/08/2020 22:45:05,3,1
iR7UweUPeNw,364377,4385,900,165,08/12/2020 02:00:00,08/11/2020 06:30:02,0,1
5JC2trEXxhE,219425,3251,4406,371,08/12/2020 02:00:00,08/11/2020 06:24:58,0,1
AG9qDVXEemc,480485,30207,2967,391,08/12/2020 02:00:00,08/10/2020 19:57:08,1,1
3qxGj18nAR4,452906,29368,3191,829,08/12/2020 02:00:00,08/10/2020 00:15:50,2,1
BpXkl4VdFhA,1115723,47429,3929,1509,08/12/2020 02:00:00,08/09/2020 17:58:10,2,1
Gj_SlGSZFgA,609833,38464,5507,409,08/12/2020 02:00:00,08/11/2020 00:09:51,1,1
vzXYz61U3Gk,522114,33294,2805,539,08/12/2020 02:00:00,08/11/2020 01:23:49,1,1
koHs2-xKdEk,1511079,96619,5975,1823,08/12/2020 02:00:00,08/09/2020 01:02:38,3,1
hEU_MnFTJ_c,1527389,63086,5168,1213,08/12/2020 02:00:00,08/09/2020 19:00:10,2,1
tbsu-AWH-C0,823262,24171,5204,3573,08/12/2020 02:00:00,08/10/2020 18:15:11,1,1
MKHriv5r8pk,605678,28828,4955,315,08/12/2020 02:00:00,08/10/2020 23:04:32,1,1
vml4hskxqtE,758740,47910,3548,1086,08/12/2020 02:00:00,08/10/2020 18:00:17,1,1
YFn3NtG4bJ8,253484,1545,237,118,08/12/2020 02:00:00,08/10/2020 03:43:52,1,1
vysBEblWBoQ,471459,5317,727,239,08/12/2020 02:00:00,08/09/2020 17:32:04,2,1
F82kzN-ae3o,177871,17123,3135,97,08/12/2020 02:00:00,08/11/2020 18:15:00,0,1
QjB3I4zaKRk,2117481,179969,24057,11820,08/12/2020 02:00:00,08/09/2020 06:00:09,2,1
JXzk8G9aXI8,1048314,51361,965,891,08/12/2020 02:00:00,08/03/2020 23:51:14,8,1
GsL8veaFW-s,210632,1558,862,121,08/12/2020 02:00:00,08/10/2020 00:37:14,2,1
khhxZRo527Q,420438,24973,948,372,08/12/2020 02:00:00,08/09/2020 21:09:03,2,1
oXTcmpnjdBk,207978,1182,182,59,08/12/2020 02:00:00,08/10/2020 02:49:11,1,1
DrlnrRQK84A,498820,28728,1078,446,08/12/2020 02:00:00,08/09/2020 19:00:02,2,1
6rhLJ6T6NDI,1025445,95678,4164,756,08/12/2020 02:00:00,08/10/2020 21:04:01,1,1
Yvlmj0rtnpc,1547751,232695,12748,4065,08/12/2020 02:00:00,08/09/2020 21:54:58,2,1
ysdw7cmigZM,2657891,154064,21993,6509,08/12/2020 02:00:00,08/08/2020 20:05:14,3,1
Q_KW4u0t07k,195842,8771,2156,276,08/12/2020 02:00:00,08/10/2020 02:15:00,1,1
xX9PYIIgoEA,1331068,170823,11053,874,08/12/2020 02:00:00,08/10/2020 04:00:06,1,1
3LqQB4HV8qg,263450,22669,4591,291,08/12/2020 02:00:00,08/09/2020 23:15:00,2,1
nk44yPCN3gM,1354257,62586,3888,560,08/12/2020 02:00:00,08/09/2020 18:00:12,2,1
UcXVnupm0zk,271364,2114,1637,187,08/12/2020 02:00:00,08/09/2020 15:09:30,2,1
LNDhIGR-83w,4365832,28552,5246,2366,08/12/2020 02:00:00,08/08/2020 03:18:00,3,1
0a5YhsnITFE,155846,9699,1905,158,08/12/2020 02:00:00,08/10/2020 09:23:05,1,1
avgBgc210bg,8228364,74582,6986,2733,08/12/2020 02:00:00,08/07/2020 18:38:30,4,1
qn515i8xr-4,176552,14567,391,93,08/12/2020 02:00:00,08/09/2020 18:00:13,2,1
fHKNO3DV78M,1624713,17361,11463,4327,08/12/2020 02:00:00,08/09/2020 01:28:08,3,1
nX0NDmm1K1g,1963670,205529,11335,1323,08/12/2020 02:00:00,08/08/2020 07:49:52,3,1
Oe9naV81gdY,1043140,58586,11919,1704,08/12/2020 02:00:00,08/09/2020 14:59:43,2,1
53sqVjcdM4Q,573875,47865,3122,401,08/12/2020 02:00:00,08/09/2020 01:58:19,3,1
kzST_Q2Xbks,724011,9027,2131,469,08/12/2020 02:00:00,08/08/2020 19:59:39,3,1
YwJyis4yOEA,323296,19257,1699,365,08/12/2020 02:00:00,08/09/2020 15:46:28,2,1
